title,link,no,district,area,price,amount,layout,three
大众日报社第三宿舍南区,https://jn.ke.com/xiaoqu/458371013432176/,458371013432176,历下,环山,32101,1,3室2厅:90.84,True
明湖小区东区四区,https://jn.ke.com/xiaoqu/4511058205060/,4511058205060,历下,明湖区,21940,37,2室1厅:47,False
工业北路236,https://jn.ke.com/xiaoqu/4511059245099/,4511059245099,历城,还乡店,14416,36,3室1厅:77,True
建兴小区,https://jn.ke.com/xiaoqu/4511060494451/,4511060494451,市中,建设路,16180,11,2室0厅:55.77,False
棋盘小区六区,https://jn.ke.com/xiaoqu/457425292513680/,457425292513680,历下,佛山街,21781,20,2室1厅:57.53,False
title,link,no,district,area,price,amount,layout,three
国华印象,https://jn.ke.com/xiaoqu/4511059509396/,4511059509396,高新,齐鲁软件园,23995,47,2室2厅:107.84,False
鲁能领秀城E区,https://jn.ke.com/xiaoqu/4511059634310/,4511059634310,市中,领秀城,23739,21,3室2厅:134.04,True
汇科旺园,https://jn.ke.com/xiaoqu/4511057907559/,4511057907559,历城,洪家楼,17612,37,2室2厅:114.7,False
凯旋公馆,https://jn.ke.com/xiaoqu/457418131788003/,457418131788003,历下,化纤厂路,19796,31,2室2厅:93.8,False
永大清华园,https://jn.ke.com/xiaoqu/4511057959084/,4511057959084,历下,环山,27929,18,4室2厅:183.36,False
万豪中心,https://jn.ke.com/xiaoqu/4511058185116/,4511058185116,历下,文化东路,28951,194,2室1厅:44.1,False
名辉豪庭,https://jn.ke.com/xiaoqu/456962827767886/,456962827767886,历城,还乡店,16596,92,2室2厅:78.18,False
重汽1956,https://jn.ke.com/xiaoqu/457352186319236/,457352186319236,历城,汉峪,21997,32,3室2厅:142.57,True
绿景嘉园,https://jn.ke.com/xiaoqu/4511100902701/,4511100902701,历下,山大路,23036,28,2室2厅:105.04,False
路劲东城,https://jn.ke.com/xiaoqu/456943987740698/,456943987740698,历城,全福区,16169,60,3室2厅:125.06,True
鲁能领秀城B区,https://jn.ke.com/xiaoqu/4511059563281/,4511059563281,市中,领秀城,24542,23,3室1厅:135.49,True
